239108 3
0.08 2.615 3.459
0.087 -0.143 3.325
0.083 -0.725 2.922
0.08 -1.06 2.457
0.083 -0.95 2.257
0.076 -0.906 1.72
0.1 2.352 2.192
0.122 0.715 3.065
0.193 -1.618 4.467
0.166 -5.018 6.727
0.205 2.723 6.324
0.139 1.761 5.593
0.141 1.26 3.72
0.124 1.251 3.792
0.111 0.473 2.186
0.09 -0.042 1.987
0.151 0.846 2.931
0.199 0.99 4.669
0.196 0.403 3.392
0.172 0.267 3.392
0.23 -1.196 5.139
0.247 -6.063 5.872
0.293 5.315 6.997
0.412 2.085 6.843
0.157 1.623 4.516
0.081 1.39 3.854
0.115 0.334 3.862
0.095 1.598 3.325
0.111 0.644 3.728
0.112 0.949 3.594
0.093 0.785 2.452
0.103 0.678 3.392
0.095 0.166 3.123
0.1 0.17 3.191
0.112 0.136 3.325
0.112 -1.675 3.86
0.117 -7.492 3.929
0.161 4.772 5.272
0.223 1.756 6.8
0.14 1.319 6.449
0.15 1.284 5.929
0.105 0.543 5.19
0.08 0.202 4.993
0.107 0.711 5.265
0.09 0.444 4.325
0.091 0.581 4.332
0.087 0.712 4.064
0.1 -0.105 4.4
0.099 -1.749 4.734
0.117 -8.307 4.994
0.113 8.866 4.728
0.124 1.626 4.86
0.104 0.435 4.458
0.132 1.561 5.064
0.185 0.546 6.603
0.098 -0.102 6.718
0.065 1.015 6.187
0.076 0.851 6.935
0.076 0.239 6.864
0.094 -0.309 6.795
0.085 -1.982 6.124
0.083 -8.269 6.262
0.121 2.271 5.258
0.152 1.657 5.866
0.13 1.391 5.464
0.157 0.983 5.332
0.172 0.677 5.4
0.173 0.676 5.732
0.175 0.308 6.065
0.084 0.746 6.996
0.095 0.407 6.795
0.101 0.341 6.661
0.013 -2.67 6.652
0.153 3.63 6.727
0.26 1.618 6.928
0.263 1.762 6.936
0.203 0.539 6.528
0.191 0.885 6.398
0.212 0.611 5.996
0.218 0.539 5.258
0.193 0.579 6.786
0.172 -0.41 5.996
0.198 -3.451 6.265
0.182 -8.503 5.529
0.163 2.781 5.33
0.158 2.643 4.929
0.16 0.91 4.599
0.141 1.764 3.929
0.13 0.374 3.929
0.144 0.743 3.997
0.15 0.612 3.997
0.218 0.512 4.937
0.32 0.034 6.388
0.268 -2.255 6.257
0.301 -8.92 5.929
0.336 1.451 6
0.335 1.866 5.668
0.333 1.764 5.4
0.329 0.649 5.131
0.367 0.805 5.803
0.326 0.819 5.004
0.289 0.164 4.601
0.284 0.542 4.534
0.273 0.578 4.735
0.264 -0.273 4.601
0.319 -2.459 5.407
0.235 2.072 6.332
0.245 0.874 6.198
