2527 3
1476858785.459989 -1.004550 37.616650
1476858786.500158 -1.004550 37.616650
1476858787.552214 -1.004550 37.616650
1476858788.589923 -1.004557 37.616645
1476858789.630035 -1.004557 37.616645
1476858790.669665 -1.004557 37.616645
1476858791.709193 -1.004557 37.616645
1476858792.751815 -1.004557 37.616645
1476858793.789518 -1.004557 37.616645
1476858794.830032 -1.004557 37.616645
1476858795.879874 -1.004557 37.616645
1476858796.920471 -1.004557 37.616645
1476858797.960865 -1.004572 37.616648
1476858799.000232 -1.004572 37.616648
1476858800.039762 -1.004637 37.616658
1476858801.085684 -1.004680 37.616665
1476858802.121987 -1.004680 37.616665
1476858803.160356 -1.004753 37.616682
1476858804.213096 -1.004787 37.616687
1476858805.250762 -1.004787 37.616687
1476858806.290197 -1.004855 37.616698
1476858807.330638 -1.004902 37.616707
1476858808.370312 -1.004902 37.616707
1476858809.410058 -1.004998 37.616730
1476858810.450864 -1.005053 37.616743
1476858811.490366 -1.005053 37.616743
1476858812.542340 -1.005178 37.616777
1476858813.582788 -1.005252 37.616798
1476858814.622177 -1.005252 37.616798
1476858815.662820 -1.005398 37.616842
1476858816.702533 -1.005398 37.616842
1476858817.744070 -1.005483 37.616855
1476858818.782508 -1.005697 37.616902
1476858819.823073 -1.005697 37.616902
1476858820.874138 -1.005697 37.616902
1476858821.910378 -1.005867 37.616938
1476858822.951718 -1.005867 37.616938
1476858823.990241 -1.005915 37.616950
1476858825.030743 -1.005958 37.616990
1476858826.070463 -1.005958 37.616990
1476858827.111308 -1.005922 37.617032
1476858828.151826 -1.005888 37.617043
1476858829.201828 -1.005888 37.617043
1476858830.243166 -1.005792 37.617038
1476858831.283085 -1.005735 37.617023
1476858832.324325 -1.005735 37.617023
1476858833.363033 -1.005602 37.616982
1476858834.403283 -1.005522 37.616958
1476858835.444040 -1.005522 37.616958
1476858836.483459 -1.005347 37.616915
1476858837.535688 -1.005257 37.616892
1476858838.572949 -1.005257 37.616892
1476858839.612038 -1.005073 37.616843
1476858840.652640 -1.005073 37.616843
1476858841.691312 -1.004985 37.616820
1476858842.731901 -1.004692 37.616743
1476858843.772549 -1.004692 37.616743
1476858844.811810 -1.004692 37.616743
1476858845.864811 -1.004370 37.616668
1476858846.905508 -1.004370 37.616668
1476858847.945644 -1.004265 37.616645
1476858848.985402 -1.004055 37.616592
1476858850.024111 -1.004055 37.616592
1476858851.064822 -1.003857 37.616538
1476858852.105116 -1.003768 37.616512
1476858853.145611 -1.003768 37.616512
1476858854.196593 -1.003630 37.616467
1476858855.232314 -1.003587 37.616450
1476858856.272401 -1.003587 37.616450
1476858857.311959 -1.003528 37.616432
1476858858.352459 -1.003515 37.616428
1476858859.392084 -1.003515 37.616428
1476858860.434874 -1.003492 37.616415
1476858861.471218 -1.003473 37.616410
1476858862.522715 -1.003473 37.616410
1476858863.563764 -1.003398 37.616380
1476858864.602995 -1.003398 37.616380
1476858865.644636 -1.003348 37.616357
1476858866.682074 -1.003235 37.616300
1476858867.723652 -1.003235 37.616300
1476858868.763466 -1.003175 37.616272
1476858869.802974 -1.003040 37.616190
1476858870.860605 -1.003040 37.616190
1476858871.903407 -1.003018 37.616175
1476858872.944869 -1.003002 37.616160
1476858873.983317 -1.003002 37.616160
1476858875.023699 -1.002997 37.616157
1476858876.063506 -1.002995 37.616155
1476858877.103927 -1.002995 37.616155
1476858878.145520 -1.002987 37.616142
1476858879.196952 -1.002980 37.616133
1476858880.234094 -1.002980 37.616133
1476858881.272237 -1.002963 37.616118
1476858882.312776 -1.002957 37.616107
1476858883.353508 -1.002957 37.616107
1476858884.393159 -1.002948 37.616053
1476858885.432662 -1.002970 37.616015
1476858886.473012 -1.002970 37.616015
1476858887.524783 -1.003063 37.615952
1476858888.564458 -1.003133 37.615928
1476858889.603699 -1.003133 37.615928
1476858890.644266 -1.003313 37.615885
1476858891.682735 -1.003313 37.615885
1476858892.723356 -1.003415 37.615852
1476858893.763936 -1.003737 37.615738
1476858894.803665 -1.003737 37.615738
1476858895.855391 -1.003737 37.615738
1476858896.895742 -1.004093 37.615587
1476858897.933348 -1.004093 37.615587
1476858898.973569 -1.004217 37.615532
1476858900.015449 -1.004450 37.615412
1476858901.056045 -1.004450 37.615412
1476858902.093304 -1.004678 37.615297
1476858903.134016 -1.004795 37.615242
1476858904.191201 -1.004795 37.615242
